fold,subgroup,level,n,RMSE,MAE,R2
4,gender,M,48507,17.90646335542918,14.035109980703494,-0.30934847100468854
4,bpm_tertile,high,19892,26.51777933800759,22.833036987301618,-2.8762584388462615
4,bpm_tertile,low,25393,13.281656628214543,12.216256857904195,-16.62055341973785
4,bpm_tertile,mid,33475,9.856134019014014,6.82422335407465,-5.918822412900586
5,overall,all,80830,17.294885850789495,13.240962184220276,-0.13602163242285625
5,language,English,72765,17.87422755667217,13.759245936731158,-0.11989303353962111
5,language,Tamil,8065,10.73703534236588,8.564841012310257,-0.864485866781048
5,gender,F,34029,20.95105679165355,15.083403863026584,-0.22621443913419714
5,gender,M,46801,14.051334867471283,11.90132311906996,-0.09553793137445621
5,bpm_tertile,high,34460,24.282789301164538,20.843899853396955,-2.8205035626796877
5,bpm_tertile,low,19954,12.652130347391092,12.018270891535028,-14.91825001096354
5,bpm_tertile,mid,26416,5.012377029051818,4.246426674469105,-0.49446006396055875
6,overall,all,85254,18.334650600413926,14.246596032210048,0.03730764743440462
6,language,English,65462,18.738123110350884,14.099655268205476,0.03241113140889351
6,language,Tamil,19792,16.931815328999797,14.732602312185154,-1.4871390943789193
6,gender,F,36868,21.76214517546915,16.676001128372302,-0.20612806959307606
6,gender,M,48386,15.213238547221408,12.39549639418851,-0.12400972652265607
6,bpm_tertile,high,28392,24.305507391657343,19.39381711588473,-1.7976332558774675
6,bpm_tertile,low,32944,18.545737376093616,17.38672743230378,-5.972721817100358
6,bpm_tertile,mid,23918,4.818118272227536,3.811426291747659,-0.6674958357185499
7,overall,all,89380,15.154372095493706,11.85206835506266,-0.05869045623511404
7,language,English,67584,15.170426583442827,11.926472030918706,-0.06031129432838189
7,language,Tamil,21796,15.104482613835344,11.621360976229154,-0.05410727361699408
7,gender,F,35393,16.62013018653618,12.289627310589283,-0.3262174047131201
7,gender,M,53987,14.111059863464693,11.565211813433121,-0.025680459313378368
7,bpm_tertile,high,37863,20.404805908374307,17.839875092922128,-3.297948720527053
7,bpm_tertile,low,21626,14.065201742137354,13.115990681332068,-7.8734203339398885
7,bpm_tertile,mid,29891,4.023128820609211,3.352857530952549,-0.3277318755980041
8,overall,all,91628,14.359025234221955,11.155645538095603,-0.01617530718420146
8,language,English,66867,13.415657994857574,10.43610619289931,0.051902629796695354
8,language,Tamil,24761,16.641492787899974,13.098759200517987,-0.4316333496029241
8,gender,F,40866,14.093904974718807,11.332066920770572,-0.2839188398522363
8,gender,M,50762,14.568955569830436,11.013617323596662,0.02323368513451829
8,bpm_tertile,high,35787,19.745528598149935,17.186154201730456,-3.5194573250349546
8,bpm_tertile,low,23821,13.238576605207093,11.964344625824129,-8.844826918344094
8,bpm_tertile,mid,32020,4.885622274781877,3.8140517056695673,-0.9377821555080648
9,overall,all,89914,14.708869355759632,10.927409968543849,-0.0392802055231698
9,language,English,75049,15.1888548204353,11.211352485071489,-0.03875953652409381
9,language,Tamil,14865,11.995813128320474,9.493867962295424,-0.4140486471334359
9,gender,F,33945,13.629161427161677,10.371998433242194,-0.4224126413622049
9,gender,M,55969,15.326698480027696,11.264265094878333,-0.17744789917586568
9,bpm_tertile,high,24675,23.084837148366596,18.74232168226619,-2.264524752218101
9,bpm_tertile,low,31171,13.193842292321982,12.351380828698817,-10.381416521590472
9,bpm_tertile,mid,34068,5.074452341929223,3.9642908474334435,-1.1174351210799007
10,overall,all,77654,16.180284719371826,12.888296923378382,-0.08477192307393899
10,language,English,63235,14.135139217801104,11.269789954461702,-0.05390379572094761
10,language,Tamil,14419,23.101996858269256,19.98631260958729,-0.146651885247707
10,gender,F,30431,13.227801006627558,10.228540075866913,-0.7569842765617487
10,gender,M,47223,17.825649533711807,14.602272329994259,-0.35866235598012985
10,bpm_tertile,high,27850,16.018581313143823,13.796637986078725,-3.1280835283119144
10,bpm_tertile,low,24776,22.598794582530374,21.13730197126803,-8.681949010807475
10,bpm_tertile,mid,25028,4.6040843134041705,3.711588929822427,-0.48238601802274483
