fold,subgroup,level,n,RMSE,MAE,R2
4,language,English,449,18.82633249608688,14.3540042460894,-0.03732778837135031
4,language,Tamil,126,12.14043633268954,11.02791280595083,-1.1703254101140907
4,bpm_tertile,high,176,26.95837722230032,23.430114139210094,-2.548414286411707
4,bpm_tertile,low,191,13.64632899896289,11.927953110939546,-14.297056020562101
4,bpm_tertile,mid,208,8.272234359581198,6.887143208430364,-4.055384640418996
5,overall,all,649,18.2751333435256,14.503882397855927,-0.07712177323577518
5,gender,F,249,22.4685642306857,17.03734613135158,-0.11165569687729993
5,gender,M,400,15.08717049376053,12.926801223754882,-0.16753905432514826
5,language,English,589,18.94794214235684,15.235271071740039,-0.0719176229142009
5,language,Tamil,60,9.387852469470669,7.324083582560221,-0.36683146231655295
5,bpm_tertile,high,277,24.882667842404455,21.440411481616298,-2.5028774468093915
5,bpm_tertile,low,172,14.644819133375679,13.92552823798601,-16.635946201499532
5,bpm_tertile,mid,200,6.465529954965833,5.394174194335937,-1.806522172649534
6,overall,all,772,19.01080269605694,14.91501038309206,0.031190764999509124
6,gender,F,311,21.837020228612456,16.60150987925637,-0.037632071335577555
6,gender,M,461,16.83832475694676,13.777263434486638,-0.29235988802138047
6,language,English,642,18.91584700279224,14.398854276472905,0.06399886593406223
6,language,Tamil,130,19.472949291409527,17.464027463472807,-1.707813218588805
6,bpm_tertile,high,265,22.760409334905255,16.9180915400667,-1.172936511218602
6,bpm_tertile,low,302,21.142178722602928,20.085007699120123,-7.717673492992981
6,bpm_tertile,mid,205,5.733043472690191,4.709372841439596,-1.5434451691241087
7,overall,all,780,15.41514836052781,12.043769572331355,0.055044316223866296
7,gender,F,315,16.29355420299206,12.04453648158482,-0.1447284542322098
7,gender,M,465,14.790488952337432,12.043250053159651,0.021862746796090904
7,language,English,586,15.360454965875638,12.028383417747941,0.06707629258513104
7,language,Tamil,194,15.579190327003602,12.090245276382289,0.014165368886552732
7,bpm_tertile,high,318,20.06045840257004,16.625392937810165,-2.174976246917
7,bpm_tertile,low,205,15.373385530803949,14.168747432057451,-10.51691063245732
7,bpm_tertile,mid,257,5.894272268500364,4.679657932385396,-1.7578850694394168
8,overall,all,761,14.391604712301634,11.194165524296002,0.1030552602531647
8,gender,F,374,13.228719070109548,10.687504345082981,-0.08750570343633002
8,gender,M,387,15.43238873281563,11.683807077333908,0.14181918383396508
8,language,English,571,13.980417983449746,10.838553300045835,0.12790128383978994
8,language,Tamil,190,15.562078423305573,12.26287384033203,-0.10153036103015389
8,bpm_tertile,high,307,18.880315273021697,15.718390871725175,-2.630808803822724
8,bpm_tertile,low,211,13.928448165680502,12.434516617472138,-9.602333129438486
8,bpm_tertile,mid,243,5.4612394793245285,4.401361975650238,-1.1708862480860716
9,overall,all,780,15.017701577751511,11.192470384255433,-0.007683539828407637
9,gender,F,319,13.271948604471559,10.640162692174643,-0.2227380511701984
9,gender,M,461,16.11538705210144,11.574652930402445,-0.18122398294137154
9,language,English,649,15.276811841693393,11.264158463441353,0.001035970515394835
9,language,Tamil,131,13.661727137851008,10.837313411800006,-0.37051195453840613
9,bpm_tertile,high,217,22.811064440928604,18.075663307295418,-2.006546205077952
9,bpm_tertile,low,258,13.741066663646036,12.115383917047073,-9.453742365038442
9,bpm_tertile,mid,305,6.843665574128042,5.514553807993404,-2.6439685605766714
10,overall,all,652,17.593687167665863,13.707622844017356,-0.11039701981971262
10,gender,F,254,12.320068184550607,8.789966673362912,-0.2748699463537436
10,gender,M,398,20.253761212701114,16.846026530816925,-0.5757323010804061
10,language,English,522,14.964601024450438,11.833756077791996,-0.035422868345871494
10,language,Tamil,130,25.55873443984582,21.23191862839919,-0.2599014386067746
10,bpm_tertile,high,213,15.866104060789878,12.025594970989674,-1.6418621196727612
10,bpm_tertile,low,232,24.589999831982585,22.95994133784853,-9.687024538663492
10,bpm_tertile,mid,207,6.184163468163478,5.06865688452974,-1.4801686627946626
