fold,subgroup,level,n,RMSE,MAE,R2
9,bpm_tertile,low,28702,14.108552924280001,13.644228884404765,-16.105092152436388
9,bpm_tertile,mid,30668,4.592401198877533,3.9624622017086852,-0.2950733941562791
10,overall,all,81088,14.081657782922976,11.34643809900758,0.013791137400765985
10,gender,F,38343,14.150663734383109,11.005813766569828,-0.2910100532685729
10,gender,M,42745,14.019469270386704,11.651983982237448,-0.02878118915964456
10,language,English,39713,17.246192110696832,14.286047799877881,-0.07920083503236053
10,language,Tamil,41375,10.155654797672316,8.5249101219523,-0.040968145077737717
10,bpm_tertile,high,26131,20.291320029067617,18.329332553214922,-4.3232663639617375
10,bpm_tertile,low,27342,13.229102430943104,12.350048779796014,-10.181497208322925
10,bpm_tertile,mid,27615,4.401424079466438,3.7451077272165474,-0.2688583238758149
